stem,gru_time_loss,gru_strategy,pers_time_loss,pers_strategy,gru_better
traffic_data_20260526_222147,25.65,baseline_original,25.9,baseline_original,True
traffic_data_20260526_223647,17.25,no_control,17.25,no_control,False
traffic_data_20260526_224147,13.05,no_control,13.05,no_control,False
traffic_data_20260526_232147,45.34,baseline_more_edges_more_tls,45.61,no_control,True
traffic_data_20260527_003147,22.25,no_control,22.25,no_control,False
traffic_data_20260527_061148,21.65,baseline_more_edges_more_tls,22.99,adaptive,True
traffic_data_20260527_064148,49.53,baseline_more_edges,49.78,baseline_more_edges,True
traffic_data_20260527_064648,24.34,no_control,24.34,no_control,False
traffic_data_20260527_090148,52.73,baseline_more_edges,50.05,baseline_original,False
traffic_data_20260527_092148,94.09,adaptive,87.59,baseline_more_edges_more_tls,False
traffic_data_20260527_094148,56.13,adaptive,53.23,adaptive,False
traffic_data_20260527_095148,20.45,baseline_more_edges_more_tls,20.33,baseline_more_edges,False
traffic_data_20260527_095648,59.47,baseline_more_edges,62.44,baseline_original,True
traffic_data_20260527_115648,34.57,baseline_more_edges_more_tls,39.41,baseline_more_edges,True
traffic_data_20260527_124649,101.89,baseline_more_edges_more_tls,111.47,baseline_more_edges_more_tls,True
traffic_data_20260527_132149,50.65,adaptive,49.97,baseline_original,False
traffic_data_20260527_135149,69.67,baseline_original,50.27,baseline_more_edges_more_tls,False
traffic_data_20260527_141149,66.98,baseline_more_edges,67.59,baseline_original,True
traffic_data_20260527_153649,80.22,no_control,80.22,no_control,False
traffic_data_20260527_154649,39.92,baseline_more_edges_more_tls,39.22,baseline_original,False
traffic_data_20260527_163149,36.06,baseline_original,37.68,baseline_more_edges,True
traffic_data_20260527_165149,91.31,adaptive,89.84,baseline_more_edges_more_tls,False
traffic_data_20260527_180649,74.51,baseline_original,71.28,adaptive,False
traffic_data_20260527_182149,46.13,no_control,46.13,no_control,False
traffic_data_20260527_185649,41.05,baseline_more_edges_more_tls,42.98,baseline_more_edges_more_tls,True
traffic_data_20260527_204149,76.36,no_control,72.64,baseline_original,False
traffic_data_20260527_215149,32.77,no_control,32.26,baseline_original,False
traffic_data_20260527_222646,22.59,baseline_original,21.99,baseline_more_edges_more_tls,False
traffic_data_20260528_135200,66.4,adaptive,67.1,baseline_more_edges,True
traffic_data_20260528_140700,34.96,adaptive,34.74,baseline_more_edges_more_tls,False
traffic_data_20260528_153200,65.45,adaptive,43.99,baseline_more_edges_more_tls,False
traffic_data_20260528_160200,67.53,no_control,67.06,baseline_more_edges_more_tls,False
traffic_data_20260528_161200,90.72,no_control,90.72,no_control,False
traffic_data_20260528_170700,63.23,baseline_original,51.69,baseline_more_edges_more_tls,False
traffic_data_20260528_175700,143.62,baseline_original,120.04,baseline_original,False
traffic_data_20260528_194200,22.84,baseline_more_edges,23.54,baseline_more_edges_more_tls,True
traffic_data_20260528_210200,19.38,baseline_original,19.3,baseline_more_edges,False
traffic_data_20260528_233200,10.96,no_control,10.96,no_control,False
traffic_data_20260529_002700,39.66,adaptive,39.66,baseline_more_edges,False
traffic_data_20260529_005200,22.87,adaptive,22.6,adaptive,False
traffic_data_20260529_015200,28.01,no_control,26.97,baseline_more_edges_more_tls,False
